,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1
0,Edward Burtynsky,Edward Burtynsky,"photographer , artist",canadian,1955,1955,71,"Edward Burtynsky was a canadian photographer , artist. When was Edward Burtynsky born."
1,Mikhail Vladislavovich Tyurin,Mikhail Tyurin,mechanical engineer,russian,1960,1960,12,Mikhail Vladislavovich Tyurin was a russian mechanical engineer. When was Mikhail Vladislavovich Tyurin born.
2,Vasili Mitrokhin,Vasili Mitrokhin,military,"russian , british",1922,1922,4,"Vasili Mitrokhin was a russian , british military. When was Vasili Mitrokhin born."
3,Sibel Kekilli,Sibel Kekilli,actress,german,1980,1980,36,Sibel Kekilli was a german actress. When was Sibel Kekilli born.
4,Mike Grgich,Mike Grgich,winemaker,croatian/american,1923,1923,6,Mike Grgich was a croatian/american winemaker. When was Mike Grgich born.
5,Simon Lokodo,Simon Lokodo,former catholic priest & politician,ugandan,1957,1957,19,Simon Lokodo was a ugandan former catholic priest & politician. When was Simon Lokodo born.
6,Andreas Fritz Hillgruber,Andreas Hillgruber,historian,german,1925,1925,487,Andreas Fritz Hillgruber was a german historian. When was Andreas Fritz Hillgruber born.
7,Bill Geivett,Bill Geivett,director of major league operations,american,1963,1963,12,Bill Geivett was a american director of major league operations. When was Bill Geivett born.
8,Majdoddin Mirfakhraee,Golchin Gilani,poet,iran,1910,1910,4,Majdoddin Mirfakhraee was a iran poet. When was Majdoddin Mirfakhraee born.
9,Juan Manuel Carreras López,Juan Manuel Carreras López,politician,mexican,,1962,0,Juan Manuel Carreras López was a mexican politician. When was Juan Manuel Carreras López born.
10,George Dalrymple,George Elphinstone Dalrymple,"explorer , goldfields commissioner , station manager",scottish,1826,1826,42,"George Dalrymple was a scottish explorer , goldfields commissioner , station manager. When was George Dalrymple born."
11,Michael Jeter,Michael Jeter,actor,american,1952,1952,14,Michael Jeter was a american actor. When was Michael Jeter born.
12,Sébastien Foucan,Sébastien Foucan,"actor , freerunning instructor , public speaker",french,1974,1974,18,"Sébastien Foucan was a french actor , freerunning instructor , public speaker. When was Sébastien Foucan born."
13,Horst Piepenburg,Horst Piepenburg,lawyer,germany,1954,1954,3,Horst Piepenburg was a germany lawyer. When was Horst Piepenburg born.
14,Ivan Focht,Ivan Focht,"philosopher , mycologist",croat,1927,1927,5,"Ivan Focht was a croat philosopher , mycologist. When was Ivan Focht born."
15,Leticia Gutiérrez Corona,Leticia Gutiérrez Corona,politician,mexican,1951,1951,1,Leticia Gutiérrez Corona was a mexican politician. When was Leticia Gutiérrez Corona born.
16,Irving Kahn,Irving Kahn,"businessman , investor",american,1905,1905,9,"Irving Kahn was a american businessman , investor. When was Irving Kahn born."
17,Bruce Garvey,Bruce Garvey,"reporter , editor",english,1939,1939,5,"Bruce Garvey was a english reporter , editor. When was Bruce Garvey born."
18,Margery Eagan,Margery Eagan,"radio host , newspaper columnist",american,1954,1954,16,"Margery Eagan was a american radio host , newspaper columnist. When was Margery Eagan born."
