,Unnamed: 0,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1,GPT 4 Response Prompt1
0,0,Edward Burtynsky,Edward Burtynsky,"photographer , artist",canadian,1955.0,1955,71,"Edward Burtynsky was a canadian photographer , artist. When was Edward Burtynsky born?","Edward Burtynsky was born on February 22, 1955."
1,1,Mikhail Vladislavovich Tyurin,Mikhail Tyurin,mechanical engineer,russian,1960.0,1960,12,Mikhail Vladislavovich Tyurin was a russian mechanical engineer. When was Mikhail Vladislavovich Tyurin born?,"Mikhail Vladislavovich Tyurin was born on March 2, 1960."
2,2,Vasili Mitrokhin,Vasili Mitrokhin,military,"russian , british",1922.0,1922,4,"Vasili Mitrokhin was a russian , british military. When was Vasili Mitrokhin born?","Vasili Mitrokhin was born on March 3, 1922."
3,3,Sibel Kekilli,Sibel Kekilli,actress,german,1980.0,1980,36,Sibel Kekilli was a german actress. When was Sibel Kekilli born?,"Sibel Kekilli was born on June 16, 1980."
4,4,Mike Grgich,Mike Grgich,winemaker,croatian/american,1923.0,1923,6,Mike Grgich was a croatian/american winemaker. When was Mike Grgich born?,"Mike Grgich was born on April 1, 1923."
5,5,Simon Lokodo,Simon Lokodo,former catholic priest & politician,ugandan,1957.0,1957,19,Simon Lokodo was a ugandan former catholic priest & politician. When was Simon Lokodo born?,Simon Lokodo was born on 1 January 1957.
6,6,Andreas Fritz Hillgruber,Andreas Hillgruber,historian,german,1925.0,1925,487,Andreas Fritz Hillgruber was a german historian. When was Andreas Fritz Hillgruber born?,"Andreas Fritz Hillgruber was born on January 18, 1925."
7,7,Bill Geivett,Bill Geivett,director of major league operations,american,1963.0,1963,12,Bill Geivett was a american director of major league operations. When was Bill Geivett born?,"Bill Geivett was born on September 3, 1963."
8,8,Majdoddin Mirfakhraee,Golchin Gilani,poet,iran,1910.0,1910,4,Majdoddin Mirfakhraee was a iran poet. When was Majdoddin Mirfakhraee born?,"Majdoddin Mirfakhraee was born on January 1, 1921."
9,9,Juan Manuel Carreras López,Juan Manuel Carreras López,politician,mexican,,1962,0,Juan Manuel Carreras López was a mexican politician. When was Juan Manuel Carreras López born?,"Juan Manuel Carreras López was born on December 21, 1954."
10,10,George Dalrymple,George Elphinstone Dalrymple,"explorer , goldfields commissioner , station manager",scottish,1826.0,1826,42,"George Dalrymple was a scottish explorer , goldfields commissioner , station manager. When was George Dalrymple born?","George Dalrymple was born on December 6, 1826."
11,11,Michael Jeter,Michael Jeter,actor,american,1952.0,1952,14,Michael Jeter was a american actor. When was Michael Jeter born?,"Michael Jeter was born on August 26, 1952."
12,12,Sébastien Foucan,Sébastien Foucan,"actor , freerunning instructor , public speaker",french,1974.0,1974,18,"Sébastien Foucan was a french actor , freerunning instructor , public speaker. When was Sébastien Foucan born?","Sébastien Foucan was born on May 27, 1974."
13,13,Horst Piepenburg,Horst Piepenburg,lawyer,germany,1954.0,1954,3,Horst Piepenburg was a germany lawyer. When was Horst Piepenburg born?,"Horst Piepenburg was born on November 3, 1950."
14,14,Ivan Focht,Ivan Focht,"philosopher , mycologist",croat,1927.0,1927,5,"Ivan Focht was a croat philosopher , mycologist. When was Ivan Focht born?","Ivan Focht was born on January 1, 1927."
15,15,Leticia Gutiérrez Corona,Leticia Gutiérrez Corona,politician,mexican,1951.0,1951,1,Leticia Gutiérrez Corona was a mexican politician. When was Leticia Gutiérrez Corona born?,"I'm sorry, but I couldn't find the specific information about Leticia Gutiérrez Corona's birth date."
16,16,Irving Kahn,Irving Kahn,"businessman , investor",american,1905.0,1905,9,"Irving Kahn was a american businessman , investor. When was Irving Kahn born?","Irving Kahn was born on December 19, 1905."
17,17,Bruce Garvey,Bruce Garvey,"reporter , editor",english,1939.0,1939,5,"Bruce Garvey was a english reporter , editor. When was Bruce Garvey born?",Bruce Garvey's birth date is not publicly available.
18,18,Margery Eagan,Margery Eagan,"radio host , newspaper columnist",american,1954.0,1954,16,"Margery Eagan was a american radio host , newspaper columnist. When was Margery Eagan born?","Margery Eagan was born on June 13, 1954."
19,19,Madhusudan Rao,Madhusudan Rao,"poet , philosopher , freedom fighter",indian,1853.0,1853,4,"Madhusudan Rao was a indian poet , philosopher , freedom fighter. When was Madhusudan Rao born?","Madhusudan Rao was born on January 28, 1853."
20,20,Li Daichen,Li Daichen,"educator , military officer",chinese,1891.0,1891,3,"Li Daichen was a chinese educator , military officer. When was Li Daichen born?","Li Daichen was born on November 1, 1928."
21,21,Lieven Scheire,Lieven Scheire,comedian,belgium,1981.0,1981,0,Lieven Scheire was a belgium comedian. When was Lieven Scheire born?,"Lieven Scheire was born on May 3, 1981."
22,22,Michael Shub,Michael Shub,"mathematician , professor",usa,1943.0,1943,17,"Michael Shub was a usa mathematician , professor. When was Michael Shub born?","Michael Shub was born on December 26, 1943."
23,23,Andi Siebenhofer,Andi Siebenhofer,general manager and owner of the 7 group,austrian,1977.0,1977,10,Andi Siebenhofer was a austrian general manager and owner of the 7 group. When was Andi Siebenhofer born?,"I'm sorry, but I couldn't find any specific information on Andi Siebenhofer's birth date."
24,24,Zhao Yueyu,Zhao Yueyu,"politician , educator",chinese,1961.0,1961,5,"Zhao Yueyu was a chinese politician , educator. When was Zhao Yueyu born?","Zhao Yueyu was born on October 16, 1908."
25,25,William Forgan Smith,William Forgan Smith,"painter and decorator , trade union official",scottish,1887.0,1887,28,"William Forgan Smith was a scottish painter and decorator , trade union official. When was William Forgan Smith born?",William Forgan Smith was born on 18 April 1887.
26,26,Graham Kennedy,Graham Kennedy,television personality,australian,1934.0,1934,91,Graham Kennedy was a australian television personality. When was Graham Kennedy born?,"Graham Kennedy was born on February 15, 1934."
27,27,Geoff Mcqueen,Geoff Mcqueen,screenwriter,british,1947.0,1947,0,Geoff Mcqueen was a british screenwriter. When was Geoff Mcqueen born?,"Geoff McQueen was born on July 21, 1947."
28,28,Natwar Singh,Natwar Singh,politician,indian,1931.0,1929,21,Natwar Singh was a indian politician. When was Natwar Singh born?,"Natwar Singh was born on May 16, 1931."
29,29,Ellis Ryan,Ellis Ryan,"businessman , insurance executive",american,1904.0,1904,5,"Ellis Ryan was a american businessman , insurance executive. When was Ellis Ryan born?","Ellis Ryan was born on February 2, 1905."
30,30,Helen Cohn Schucman,Helen Schucman,"professor of medical psychology , columbia university",american,1909.0,1909,26,"Helen Cohn Schucman was a american professor of medical psychology , columbia university. When was Helen Cohn Schucman born?","Helen Cohn Schucman was born on July 14, 1909."
31,31,Terry Kennedy,Terry Kennedy (skateboarder),professional skateboarder,american,1985.0,1984,16,Terry Kennedy was a american professional skateboarder. When was Terry Kennedy born?,"Terry Kennedy was born on May 27, 1985."
32,32,Andrew Podger,Andrew Podger,"public servant , author and academic",australia australian,1948.0,1948,14,"Andrew Podger was a australia australian public servant , author and academic. When was Andrew Podger born?","Andrew Podger was born on February 13, 1949."
33,33,Rajasulochana,Rajasulochana,actress,indian,1935.0,1935,6,Rajasulochana was a indian actress. When was Rajasulochana born?,"Rajasulochana was born on August 15, 1935."
34,34,Morelos Jaime Canseco Gómez,Morelos Jaime Canseco Gómez,politician,mexican,1957.0,1957,1,Morelos Jaime Canseco Gómez was a mexican politician. When was Morelos Jaime Canseco Gómez born?,"Morelos Jaime Canseco Gómez was born on November 5, 1963."
35,35,"Scott L. Friedman , M.D.",Scott L. Friedman,"fishberg , mount sinai school of medicine professor and chief , division of liver diseases",american,1955.0,1955,9,"Scott L. Friedman , M.D. was a american fishberg , mount sinai school of medicine professor and chief , division of liver diseases. When was Scott L. Friedman , M.D. born?","Scott L. Friedman, M.D. was born on November 21, 1956."
36,36,Doris Fleeson,Doris Fleeson,journalist,american,1901.0,1901,16,Doris Fleeson was a american journalist. When was Doris Fleeson born?,"Doris Fleeson was born on May 19, 1901."
37,37,Helen Gardner,Helen Gardner (critic),professor,british,1908.0,1908,29,Helen Gardner was a british professor. When was Helen Gardner born?,"Helen Gardner was born on February 13, 1908."
38,38,Carolyn Jakobsen,Carolyn Jakobsen,electorate secretary,australian,1947.0,1947,8,Carolyn Jakobsen was a australian electorate secretary. When was Carolyn Jakobsen born?,"I'm sorry, but I couldn't find the specific information about Carolyn Jakobsen's birth date."
39,39,Leonard Carow,Leonard Carow,actor,german,1994.0,1994,1,Leonard Carow was a german actor. When was Leonard Carow born?,"Leonard Carow was born on August 26, 1992."
40,40,James Kendall Hosmer,James Kendall Hosmer,"librarian , university professor",american,1834.0,1834,56,"James Kendall Hosmer was a american librarian , university professor. When was James Kendall Hosmer born?","James Kendall Hosmer was born on January 29, 1834."
41,41,Alex Faickney Osborn,Alex Faickney Osborn,"advertising executive , writer , creativity theorist",american,1888.0,1888,4,"Alex Faickney Osborn was a american advertising executive , writer , creativity theorist. When was Alex Faickney Osborn born?","Alex Faickney Osborn was born on May 24, 1888."
42,42,Edward Sylvester Morse,Edward S. Morse,"professor , zoologist , orientalist",american,1838.0,1838,68,"Edward Sylvester Morse was a american professor , zoologist , orientalist. When was Edward Sylvester Morse born?","Edward Sylvester Morse was born on June 18, 1838."
43,43,John William Israel,John William Israel,public servant,australia australian,1850.0,1850,8,John William Israel was a australia australian public servant. When was John William Israel born?,John William Israel's birth date is not publicly available.
44,44,Wilhelm Normann,Wilhelm Normann,chemist,german,1870.0,1870,8,Wilhelm Normann was a german chemist. When was Wilhelm Normann born?,"Wilhelm Normann was born on January 16, 1870."
45,45,Gonzálo Guízar,Gonzálo Guízar,politician,mexican,1961.0,1961,1,Gonzálo Guízar was a mexican politician. When was Gonzálo Guízar born?,"I'm sorry, but I couldn't find specific information on the birth date of a Mexican politician named Gonzálo Guízar. It's possible that you may be referring to a less-known figure or there might be a spelling error in the name. Please provide more details."
46,46,Younghill Kang,Younghill Kang,"author , lecturer",korean,1898.0,1898,14,"Younghill Kang was a korean author , lecturer. When was Younghill Kang born?","Younghill Kang was born on May 5, 1903."
47,47,Norman I. Wengert,Norman Wengert,professor,american,1916.0,1916,33,Norman I. Wengert was a american professor. When was Norman I. Wengert born?,"I'm sorry, but I couldn't find the specific information about Norman I. Wengert's birth date."
48,48,Noemi Marone Cinzano,Noemi Marone Cinzano,businessperson,italian,1957.0,1957,18,Noemi Marone Cinzano was a italian businessperson. When was Noemi Marone Cinzano born?,"Noemi Marone Cinzano was born on October 2, 1950."
49,49,Mehmet Raşit Öğütçü,Orhan Kemal,novelist,turkish,1914.0,1914,3,Mehmet Raşit Öğütçü was a turkish novelist. When was Mehmet Raşit Öğütçü born?,"Mehmet Raşit Öğütçü was born on August 17, 1961."
50,50,Michael Bond Cbe,Michael Bond,author,english,1926.0,1926,49,Michael Bond Cbe was a english author. When was Michael Bond Cbe born?,"Michael Bond Cbe was born on January 13, 1926."
51,51,Charlie Clemmow,Charlie Clemmow,actress,british,1986.0,1986,19,Charlie Clemmow was a british actress. When was Charlie Clemmow born?,"Charlie Clemmow was born on August 31, 1987."
52,52,Josefina Valencia Muñoz,Josefina Valencia Muñoz,politician,colombian,1913.0,1913,9,Josefina Valencia Muñoz was a colombian politician. When was Josefina Valencia Muñoz born?,"Josefina Valencia Muñoz was born on March 19, 1927."
53,53,Freddy Rodríguez,Freddy Rodríguez (artist),artist,united states,1945.0,1945,10,Freddy Rodríguez was a united states artist. When was Freddy Rodríguez born?,"Freddy Rodríguez was born on February 11, 1945."
54,54,Florin-Alexandru Alexe,Florin-Alexandru Alexe,politician,romanian,1979.0,1979,3,Florin-Alexandru Alexe was a romanian politician. When was Florin-Alexandru Alexe born?,"Florin-Alexandru Alexe was born on August 5, 1981."
55,55,Ian Clarke,Ian Clarke (physician),physician politician businessman philanthropist entrepreneur,british and ugandan,1952.0,1952,12,Ian Clarke was a british and ugandan physician politician businessman philanthropist entrepreneur. When was Ian Clarke born?,"Ian Clarke was born on March 29, 1952."
56,56,Mahmoud Dowlatabadi,Mahmoud Dowlatabadi,"writer , actor",iranian,1940.0,1940,25,"Mahmoud Dowlatabadi was a iranian writer , actor. When was Mahmoud Dowlatabadi born?","Mahmoud Dowlatabadi was born on August 1, 1940."
57,57,Giuseppe Marotta,Giuseppe Marotta,director general and sports department ceo of juventus f.c.,italian,1957.0,1957,32,Giuseppe Marotta was a italian director general and sports department ceo of juventus f.c.. When was Giuseppe Marotta born?,Giuseppe Marotta was born on 13th July 1957.
58,58,Tomás Mac Curtain,Tomás Mac Curtain,lord mayor of cork,irish,1884.0,1884,23,Tomás Mac Curtain was a irish lord mayor of cork. When was Tomás Mac Curtain born?,"Tomás Mac Curtain was born on March 20, 1884."
59,59,Rae Desmond Jones,Rae Desmond Jones,"poet , novelist , short story writer and politician",australian,1941.0,1941,3,"Rae Desmond Jones was a australian poet , novelist , short story writer and politician. When was Rae Desmond Jones born?","Rae Desmond Jones was born on August 15, 1941."
60,60,Gregory Reyes,Gregory Reyes,businessman,united states,1962.0,1962,46,Gregory Reyes was a united states businessman. When was Gregory Reyes born?,"Gregory Reyes was born on September 1, 1962."
61,61,Jeffrey Arthur Koterba,Jeff Koterba,editorial cartoonist & musician,american,1961.0,1961,13,Jeffrey Arthur Koterba was a american editorial cartoonist & musician. When was Jeffrey Arthur Koterba born?,"Jeffrey Arthur Koterba was born on October 30, 1961."
62,62,Lina Spies,Lina Spies,poet writer academic,south african,1939.0,1939,2,Lina Spies was a south african poet writer academic. When was Lina Spies born?,"Lina Spies was born on March 13, 1939."
63,63,"William Clay Ford , Sr. .","William Clay Ford, Sr.",chairman of detroit lions executive of ford motor company,american,1925.0,1925,0,"William Clay Ford , Sr. . was a american chairman of detroit lions executive of ford motor company. When was William Clay Ford , Sr. . born?","William Clay Ford, Sr. was born on March 14, 1925."
64,64,Susana Monreal Ávila,Susana Monreal Ávila,politician,mexican,1971.0,1971,1,Susana Monreal Ávila was a mexican politician. When was Susana Monreal Ávila born?,"Susana Monreal Ávila was born on September 15, 1957."
65,65,Diego Alonso Hinojosa Aguerrevere,Diego Alonso Hinojosa Aguerrevere,politician,mexican,1945.0,1945,1,Diego Alonso Hinojosa Aguerrevere was a mexican politician. When was Diego Alonso Hinojosa Aguerrevere born?,"I'm sorry, but I couldn't find any information on a person named Diego Alonso Hinojosa Aguerrevere. It's possible that you may have misspelled the name or the person you're asking about isn't widely known."
66,66,Bob Stenehjem,Bob Stenehjem,roads and streets foreman,american,1952.0,1952,5,Bob Stenehjem was a american roads and streets foreman. When was Bob Stenehjem born?,"Bob Stenehjem was born on March 1, 1952."
67,67,Tom Selleck,Tom Selleck,"actor , film producer",american,1945.0,1945,75,"Tom Selleck was a american actor , film producer. When was Tom Selleck born?","Tom Selleck was born on January 29, 1945."
68,68,Rev. Daniel Sabin Butrick,Daniel Sabin Butrick,"minister , cherokee defender",euro-american,1789.0,1789,34,"Rev. Daniel Sabin Butrick was a euro-american minister , cherokee defender. When was Rev. Daniel Sabin Butrick born?","Rev. Daniel Sabin Butrick was born on March 24, 1789."
69,69,Mike Embley,Mike Embley,journalist,british,1955.0,1955,7,Mike Embley was a british journalist. When was Mike Embley born?,"Mike Embley was born on August 25, 1955."
70,70,K. Tempest Bradford,K. Tempest Bradford,"writer , editor",american,1978.0,1978,26,"K. Tempest Bradford was a american writer , editor. When was K. Tempest Bradford born?","K. Tempest Bradford was born on April 19, 1978."
71,71,Solomonica De Winter,Solomonica de Winter,author,dutch,1997.0,1997,2,Solomonica De Winter was a dutch author. When was Solomonica De Winter born?,"Solomonica De Winter was born on July 27, 1997."
72,72,Maria Gripe,Maria Gripe,"journalist , writer",swedish,1923.0,1923,16,"Maria Gripe was a swedish journalist , writer. When was Maria Gripe born?","Maria Gripe was born on July 25, 1923."
73,73,Warren Entsch,Warren Entsch,politician,australian,1950.0,1950,30,Warren Entsch was a australian politician. When was Warren Entsch born?,"Warren Entsch was born on May 31, 1950."
74,74,Lily Addison,Lily Isabel Maude Addison,architect,australian,1885.0,1885,54,Lily Addison was a australian architect. When was Lily Addison born?,"Lily Addison was born on September 29, 1885."
75,75,Musa Khiramanovich Manarov,Musa Manarov,flight engineer,"azerbaijani ,",1951.0,1951,6,"Musa Khiramanovich Manarov was a azerbaijani , flight engineer. When was Musa Khiramanovich Manarov born?","Musa Khiramanovich Manarov was born on March 22, 1951."
76,76,Rongbong Terang,Rongbong Terang,"academician , novelist , poet",indian,1937.0,1937,5,"Rongbong Terang was a indian academician , novelist , poet. When was Rongbong Terang born?",Rongbong Terang was born on 1 January 1941.
77,77,The Viscount Northcliffe,"Alfred Harmsworth, 1st Viscount Northcliffe",publisher,british,1865.0,1865,39,The Viscount Northcliffe was a british publisher. When was The Viscount Northcliffe born?,"The Viscount Northcliffe was born on July 15, 1865."
78,78,Dr. Hinko Hinković,Hinko Hinković,"lawyer , publisher , politician",croat,1854.0,1854,7,"Dr. Hinko Hinković was a croat lawyer , publisher , politician. When was Dr. Hinko Hinković born?",Dr. Hinko Hinković was born on 11 November 1863.
79,79,Wallace Souza,Wallace Souza,"presenter , politician",brazilian,1958.0,1958,35,"Wallace Souza was a brazilian presenter , politician. When was Wallace Souza born?","Wallace Souza was born on August 12, 1958."
80,80,Dolly Pratt,Dorothy Pratt,"nurse , coffee shop proprietor",australian,1955.0,1955,1,"Dolly Pratt was a australian nurse , coffee shop proprietor. When was Dolly Pratt born?","I'm sorry, but I couldn't find any specific information on Dolly Pratt's birth date."
81,81,Shay Byrne,Shay Byrne,broadcaster,irish,1972.0,1972,7,Shay Byrne was a irish broadcaster. When was Shay Byrne born?,Shay Byrne's birth date is not publicly available.
